experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 161547	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.290668937603999	0.651666032952629	22	3724	233	0.0136317814877306	9858	11622000	105
8101HTa	20220701 161722	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.182757958826823	0.96967455263976	145	1620	172	0.00594216526830085	9514	12806000	106
8101HTa	20220701 161935	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.170436034399159	0.957099772378663	922	1883	116	0.00218224635336535	10620	13020000	107
8101HTa	20220701 162001	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.221608928865818	0.141475633657142	264	6276	38	0.0197630642952667	9192	13608000	108
8101HTa	20220701 162057	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.142407088944977	0.400730396701023	411	5109	61	0.0180274461433969	9662	13618000	109
8101HTa	20220701 162358	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0823275637664832	0.74887366734657	142	6571	354	0.0104059181141588	9314	13606000	110
8101HTa	20220701 162439	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.279971554740565	0.18984167803973	200	2423	142	0.00187651834321684	12276	11124000	111
8101HTa	20220701 162606	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.251596369850878	0.487265926728072	678	2353	125	0.00102200914310392	10326	11634000	112
8101HTa	20220701 162719	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.295695357299931	0.860044062109757	222	5812	19	0.0218813930462348	9140	12700000	113
8101HTa	20220701 162844	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.269027283445289	0.601309782629204	255	1136	97	0.00290001028581161	9340	12140000	114
8101HTa	20220701 163016	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.169922624404263	0.698436879431084	739	5586	60	0.0134033068420827	11574	12666000	115
8101HTa	20220701 163156	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.269930620260695	0.641604072137037	663	6952	114	0.0087479468725973	10760	12160000	116
